CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
UNKNOWN_ID,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,3189.36,2.0,unknown@domain.com,Unknown,Canada
C2,Ravi,Female,43.69817444219067,Kolkata,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Canada
3,Ravi,Female,66.0,Ahmedabad,,2023-06-20,2741.5660000000003,10.0,user2@mail.com,Unknown,India
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,1179.1120000000003,8.2,unknown@domain.com,9316267914,USA
5,Rahul,Male,43.69817444219067,Ahmedabad,2025-07-09,,2450.6157583130575,6.476926123984947,unknown@domain.com,9234603292,USA
C6,Amit,Unknown,64.0,Mumbai,,,1357.82,5.0,unknown@domain.com,Unknown,Uk
7,Kiran,Unknown,43.69817444219067,Pune,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Australia
8,Rahul,Unknown,34.6,Delhi,,2021-11-15,889.866,10.0,user7@mail.com,Unknown,Canada
C9,Simran,Female,43.69817444219067,Pune,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,India
10,Simran,Unknown,56.2,Pune,2023-12-18,,887.49,10.0,unknown@domain.com,Unknown,Canada
UNKNOWN_ID,Ankit,Unknown,24.0,Chennai,,,1557.2959999999998,4.6,unknown@domain.com,Unknown,Unknown
C12,Ravi,Male,45.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,unknown@domain.com,Unknown,Uk
13,Rahul,Male,40.8,Bangalore,,,2822.0,4.2,user12@mail.com,Unknown,Australia
14,Ravi,Unknown,39.0,Mumbai,2024-12-15,2022-03-26,2796.408,1.0,unknown@domain.com,Unknown,USA
15,Kiran,Unknown,62.0,Unknown,2022-10-16,2025-12-04,1666.5639999999999,5.0,unknown@domain.com,9610475090,USA
UNKNOWN_ID,Unknown,Female,30.0,Pune,,,2134.828,8.8,unknown@domain.com,Unknown,Canada
17,Pooja,Male,46.2,Pune,2021-12-18,2022-11-11,509.03,5.0,unknown@domain.com,Unknown,India
18,Priya,Female,40.6,Ahmedabad,,2021-10-10,1582.43,5.8,unknown@domain.com,Unknown,Uk
19,Sneha,Unknown,38.0,Pune,2023-01-07,,2907.3419999999996,4.8,unknown@domain.com,Unknown,Unknown
20,Simran,Male,48.0,Pune,2021-07-21,2024-07-06,938.55,4.8,unknown@domain.com,9533545457,Canada
C21,Unknown,Female,26.0,Mumbai,2021-06-28,,4071.868,2.0,unknown@domain.com,9720985722,USA
C22,Ravi,Male,43.69817444219067,Kolkata,,,2450.6157583130575,6.476926123984947,user21@mail.com,9164267579,Unknown
23,Rahul,Male,43.69817444219067,Bangalore,2022-05-28,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Australia
C24,Kiran,Male,34.6,Chennai,,,889.866,10.0,unknown@domain.com,Unknown,Unknown
UNKNOWN_ID,Ankit,Female,45.0,Hyderabad,,,2501.58,4.0,unknown@domain.com,Unknown,Australia
26,Simran,Female,43.0,Kolkata,2025-07-17,2020-09-05,1250.98,5.4,unknown@domain.com,Unknown,Uk
UNKNOWN_ID,Kiran,Unknown,33.6,Kolkata,2024-05-28,2020-11-14,4772.57,4.0,unknown@domain.com,Unknown,Uk
C28,Neha,Female,40.6,Ahmedabad,,2022-05-30,84.02,2.0,unknown@domain.com,9693394106,Australia
C29,Unknown,Unknown,47.0,Hyderabad,,,2079.844,2.0,user28@mail.com,Unknown,Unknown
C30,Simran,Unknown,34.6,Pune,2022-10-11,2024-06-13,889.866,10.0,unknown@domain.com,Unknown,India
31,Sneha,Unknown,21.0,Mumbai,2025-02-28,,2660.1700000000005,10.0,unknown@domain.com,9919454989,USA
UNKNOWN_ID,Rahul,Female,46.0,Unknown,,2024-05-09,41.61,6.0,unknown@domain.com,Unknown,Canada
C33,Ravi,Unknown,45.0,Chennai,2025-11-30,2024-01-23,2501.58,4.0,unknown@domain.com,Unknown,Unknown
UNKNOWN_ID,Unknown,Male,43.69817444219067,Kolkata,2023-04-16,2023-04-06,2450.6157583130575,6.476926123984947,unknown@domain.com,9281075045,Canada
C35,Pooja,Male,42.6,Unknown,2023-05-31,,1380.12,7.4,unknown@domain.com,Unknown,India
C36,Rahul,Male,43.69817444219067,Delhi,2024-09-26,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Australia
37,Rahul,Male,43.69817444219067,Pune,,2025-05-18,2450.6157583130575,6.476926123984947,user36@mail.com,9168733414,Unknown
38,Kiran,Female,43.69817444219067,Mumbai,,2025-12-03,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,India
39,Ankit,Male,43.4,Pune,2025-10-12,,870.32,1.0,unknown@domain.com,Unknown,Uk
40,Rahul,Male,43.69817444219067,Unknown,2024-06-26,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,India
41,Ravi,Unknown,42.0,Ahmedabad,2023-01-08,,2837.6,5.2,unknown@domain.com,Unknown,Canada
UNKNOWN_ID,Simran,Female,39.0,Unknown,,,2796.408,1.0,user41@mail.com,Unknown,Canada
C43,Kiran,Female,51.4,Unknown,,,1719.83,5.0,unknown@domain.com,Unknown,Australia
UNKNOWN_ID,Kiran,Female,50.0,Chennai,2024-11-13,,2557.966,6.4,unknown@domain.com,Unknown,Australia
45,Neha,Female,50.8,Chennai,2022-12-07,,3631.99,5.0,unknown@domain.com,Unknown,Australia
UNKNOWN_ID,Neha,Female,67.0,Ahmedabad,,2022-07-01,1661.36,1.0,unknown@domain.com,Unknown,USA
C47,Rahul,Male,47.0,Mumbai,2024-10-25,,1518.802,10.0,unknown@domain.com,9948909030,India
48,Unknown,Female,42.8,Pune,,2022-04-08,1457.622,3.0,unknown@domain.com,Unknown,India
C49,Sneha,Male,22.0,Mumbai,,2024-03-15,2022.2279999999998,5.0,user48@mail.com,Unknown,Australia
C50,Sneha,Female,38.0,Delhi,,,3841.35,6.4,unknown@domain.com,9125908338,Unknown
UNKNOWN_ID,Unknown,Female,39.0,Kolkata,,,2796.408,1.0,unknown@domain.com,Unknown,Canada
C52,Unknown,Male,52.0,Unknown,,,2172.4759999999997,4.2,unknown@domain.com,9821999811,Uk
53,Rahul,Male,24.0,Unknown,,2024-06-14,1557.2959999999998,4.6,user52@mail.com,9246223934,Uk
C54,Sneha,Female,40.6,Mumbai,2021-07-25,,3147.13,7.2,unknown@domain.com,Unknown,Australia
55,Amit,Male,31.6,Pune,,,4911.38,8.0,unknown@domain.com,Unknown,Australia
56,Rahul,Female,39.0,Chennai,,,2796.408,1.0,unknown@domain.com,Unknown,USA
57,Ravi,Male,43.69817444219067,Hyderabad,,2021-07-28,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,India
UNKNOWN_ID,Pooja,Female,43.69817444219067,Chennai,2023-09-24,,2450.6157583130575,6.476926123984947,unknown@domain.com,9208493774,Canada
C59,Simran,Female,43.69817444219067,Mumbai,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Canada
UNKNOWN_ID,Unknown,Male,57.0,Kolkata,,,4812.75,10.0,unknown@domain.com,Unknown,Unknown
61,Pooja,Female,59.0,Kolkata,,,2074.078,1.0,unknown@domain.com,Unknown,Canada
UNKNOWN_ID,Unknown,Male,45.0,Kolkata,2024-04-12,2026-01-21,2501.58,4.0,unknown@domain.com,Unknown,Australia
63,Pooja,Unknown,57.4,Ahmedabad,,,176.23,7.0,user62@mail.com,Unknown,Unknown
64,Ankit,Male,34.6,Ahmedabad,,,889.866,10.0,user63@mail.com,Unknown,USA
65,Simran,Unknown,54.2,Delhi,,,940.07,1.0,unknown@domain.com,Unknown,USA
C66,Priya,Unknown,23.0,Ahmedabad,2025-08-25,,659.47,10.0,user65@mail.com,Unknown,USA
67,Simran,Male,43.69817444219067,Ahmedabad,,,2450.6157583130575,6.476926123984947,unknown@domain.com,9677889075,USA
C68,Unknown,Female,34.6,Mumbai,2020-12-30,,889.866,10.0,unknown@domain.com,9450576722,India
69,Rahul,Male,44.6,Hyderabad,2022-05-09,2022-11-18,1019.16,3.0,unknown@domain.com,9828355744,Unknown
C70,Amit,Male,45.0,Delhi,2022-01-25,,2501.58,4.0,unknown@domain.com,Unknown,Canada
C71,Sneha,Male,34.6,Kolkata,2023-11-23,2023-06-09,889.866,10.0,unknown@domain.com,Unknown,Uk
C72,Sneha,Unknown,23.0,Mumbai,,2024-10-05,2728.0800000000004,8.6,unknown@domain.com,Unknown,Australia
73,Unknown,Female,34.6,Bangalore,2025-12-13,,889.866,10.0,user72@mail.com,Unknown,Unknown
UNKNOWN_ID,Simran,Female,43.69817444219067,Bangalore,2023-09-22,2023-05-18,2450.6157583130575,6.476926123984947,user73@mail.com,Unknown,Canada
75,Unknown,Male,68.0,Mumbai,2021-04-01,,2497.7619999999997,5.8,unknown@domain.com,Unknown,Uk
C76,Simran,Female,42.6,Hyderabad,,,1958.1,2.0,unknown@domain.com,Unknown,India
UNKNOWN_ID,Unknown,Unknown,42.4,Bangalore,2021-06-16,,1025.124,2.0,user76@mail.com,9610832582,Uk
78,Amit,Unknown,47.2,Unknown,2024-06-20,,2267.95,7.0,unknown@domain.com,Unknown,Unknown
79,Kiran,Female,43.69817444219067,Unknown,2020-11-11,2022-03-28,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,India
UNKNOWN_ID,Ankit,Unknown,41.8,Chennai,2021-12-11,,1517.55,1.0,user79@mail.com,Unknown,USA
UNKNOWN_ID,Rahul,Female,43.69817444219067,Delhi,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Uk
82,Pooja,Male,39.0,Hyderabad,,,477.91,4.2,unknown@domain.com,Unknown,Australia
83,Unknown,Male,47.0,Bangalore,2025-11-22,,1105.17,4.6,unknown@domain.com,Unknown,Australia
UNKNOWN_ID,Priya,Female,36.8,Ahmedabad,,,3720.97,2.0,unknown@domain.com,Unknown,Canada
C85,Priya,Male,51.0,Delhi,,,2342.8540000000003,7.4,unknown@domain.com,Unknown,USA
86,Kiran,Female,43.69817444219067,Pune,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Uk
87,Unknown,Male,39.0,Kolkata,2020-12-05,,2796.408,1.0,user86@mail.com,Unknown,Canada
88,Kiran,Male,42.8,Delhi,,,1457.622,3.0,unknown@domain.com,9697738597,Australia
89,Rahul,Unknown,34.6,Hyderabad,,,889.866,10.0,user88@mail.com,Unknown,Unknown
UNKNOWN_ID,Ankit,Male,51.0,Hyderabad,,,2818.534,10.0,unknown@domain.com,Unknown,USA
91,Simran,Male,66.0,Unknown,,,2067.964,6.6,user90@mail.com,Unknown,USA
C92,Ankit,Unknown,34.2,Delhi,2025-07-21,,2589.13,8.4,unknown@domain.com,Unknown,Uk
93,Ravi,Female,34.6,Pune,2023-12-05,,889.866,10.0,unknown@domain.com,Unknown,India
UNKNOWN_ID,Unknown,Male,53.0,Kolkata,,,2781.168,4.2,user93@mail.com,9871388211,USA
C95,Amit,Male,43.69817444219067,Hyderabad,,,2450.6157583130575,6.476926123984947,unknown@domain.com,9387106416,Unknown
UNKNOWN_ID,Simran,Male,34.6,Unknown,2023-02-03,2020-10-12,889.866,10.0,unknown@domain.com,Unknown,USA
C97,Simran,Male,43.69817444219067,Pune,,,2450.6157583130575,6.476926123984947,user96@mail.com,9762381262,Canada
C98,Kiran,Female,43.69817444219067,Unknown,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Unknown
99,Amit,Unknown,44.6,Bangalore,,,1250.31,5.0,unknown@domain.com,9486647874,India
C100,Priya,Male,43.69817444219067,Pune,,,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,USA
C101,Neha,Unknown,43.0,Mumbai,,2022-02-20,3192.4399999999996,3.0,user100@mail.com,Unknown,India
102,Pooja,Unknown,43.69817444219067,Mumbai,2023-09-15,2022-05-10,2450.6157583130575,6.476926123984947,unknown@domain.com,Unknown,Canada
